"VMHost","DVSwitch","DeviceName","MAC"
"devqc-vs06.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic1","84:2b:2b:4a:92:ea"
"devqc-vs06.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic0","84:2b:2b:4a:92:e8"
"devqc-vs06.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic6","00:0e:1e:32:1f:10"
"devqc-vs07.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic7","00:0e:1e:0d:18:0c"
"devqc-vs07.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic6","00:0e:1e:0d:18:08"
"devqc-vs07.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic1","84:2b:2b:4a:95:94"
"devqc-vs07.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic0","84:2b:2b:4a:95:92"
devqc-vs01.ff.p10,dvSwitch-DevQC-Stacks Trunk,vmnic0,84:2b:2b:6f:6d:66
devqc-vs01.ff.p10,dvSwitch-DevQC-Stacks Trunk,vmnic1,Manual
devqc-vs01.ff.p10,dvSwitch-DEVQC_CNA_Trunk,vmnic7,00:0e:1e:36:87:5c
devqc-vs01.ff.p10,dvSwitch-DEVQC_CNA_Trunk,vmnic6,Manual
"fakw-vs01.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic2","d4:ae:52:8e:f2:18"
"fakw-vs01.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic5","00:15:17:e3:f7:04"
"fakw-vs01.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic6","00:15:17:e3:f7:07"
"fakw-vs01.fanatics.corp","dvSwitch-FAKW_iSCSI","vmnic4","00:15:17:e3:f7:05"
"fakw-vs01.fanatics.corp","dvSwitch-FAKW_iSCSI","vmnic3","d4:ae:52:8e:f2:1a"
"fakw-vs02.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic4","00:15:17:e3:fa:35"
"fakw-vs02.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic5","00:15:17:e3:fa:34"
"fakw-vs02.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic6","00:15:17:e3:fa:37"
"fakw-vs02.fanatics.corp","dvSwitch-FAKW_iSCSI","vmnic2","d4:ae:52:8e:d8:97"
"fakw-vs02.fanatics.corp","dvSwitch-FAKW_iSCSI","vmnic3","d4:ae:52:8e:d8:99"
"fakw-vs03.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic6","00:15:17:e3:f7:5f"
"fakw-vs03.fanatics.corp","dvSwitch-FAKW_iSCSI","vmnic3","d4:ae:52:8c:66:a6"
"fakw-vs03.fanatics.corp","dvSwitch-FAKW_iSCSI","vmnic4","00:15:17:e3:f7:5d"
"fakw-vs03.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic5","00:15:17:e3:f7:5c"
"fakw-vs03.fanatics.corp","dvSwitch-FAKW_Trunk","vmnic2","d4:ae:52:8c:66:a4"
"frow-vs01.fanatics.corp","dvSwitch-FROW-Trunk","vmnic3","90:b1:1c:21:93:75"
"frow-vs01.fanatics.corp","dvSwitch-FROW-Trunk","vmnic2","90:b1:1c:21:93:73"
"frow-vs01.fanatics.corp","dvSwitch-FROW_iSCSI","vmnic5","00:15:17:e3:fa:b0"
"frow-vs01.fanatics.corp","dvSwitch-FROW_iSCSI","vmnic4","00:15:17:e3:fa:b1"
"frow-vs02.fanatics.corp","dvSwitch-FROW-Trunk","vmnic3","90:b1:1c:21:a3:31"
"frow-vs02.fanatics.corp","dvSwitch-FROW-Trunk","vmnic2","90:b1:1c:21:a3:2f"
"frow-vs02.fanatics.corp","dvSwitch-FROW_iSCSI","vmnic5","00:15:17:e3:f7:58"
"frow-vs02.fanatics.corp","dvSwitch-FROW_iSCSI","vmnic4","00:15:17:e3:f7:59"
"frow-vs03.fanatics.corp","dvSwitch-FROW-Trunk","vmnic3","90:b1:1c:19:92:9f"
"frow-vs03.fanatics.corp","dvSwitch-FROW-Trunk","vmnic2","90:b1:1c:19:92:9d"
"frow-vs03.fanatics.corp","dvSwitch-FROW_iSCSI","vmnic5","00:15:17:e3:f7:60"
"frow-vs03.fanatics.corp","dvSwitch-FROW_iSCSI","vmnic4","00:15:17:e3:f7:61"
"ftfq-vs01.fanatics.corp","dvSwitch-FTFQ_Trunk_iSCSI","vmnic1","00:1e:c9:4d:c7:19"
"ftfq-vs01.fanatics.corp","dvSwitch-FTFQ_Trunk_iSCSI","vmnic0","00:1e:c9:4d:c7:17"
"ftfq-vs02.fanatics.corp","dvSwitch-FTFQ_Trunk_iSCSI","vmnic0","00:1c:23:c0:94:d3"
"ftfq-vs02.fanatics.corp","dvSwitch-FTFQ_Trunk_iSCSI","vmnic1","00:1c:23:c0:94:d5"
